,frame,personid,bb_xmin,bb_ymin,bb_height,bb_width,age_min,age_max,age_actual,gender
0,1,1,126,218,193,60,Nan,Nan,28.254242868202137,Female (81.55%)
1,1,2,126,218,193,60,Nan,Nan,23.7137612551387,Female (91.14%)
2,1,3,59,239,203,109,Nan,Nan,27.977403399253586,Male (97.14%)
3,1,4,59,239,203,109,Nan,Nan,23.7137612551387,Female (71.16%)
4,1,5,1,311,88,40,Nan,Nan,29.716103983159133,Male (55.3%)
5,1,6,2,328,136,88,Nan,Nan,27.86755710099496,Male (98.22%)
6,1,7,2,328,136,88,Nan,Nan,29.979571157040617,Female (95.47%)
7,2,1,126,217,194,60,Nan,Nan,28.40481126399901,Male (87.87%)
8,2,2,126,217,194,60,Nan,Nan,23.7137612551387,Female (56.06%)
9,2,3,59,239,203,109,Nan,Nan,27.977403399253586,Male (74.83%)
10,2,4,59,239,203,109,Nan,Nan,23.7137612551387,Male (90.22%)
11,2,5,1,311,88,40,Nan,Nan,29.716103983159133,Male (82.71%)
12,2,6,2,328,136,88,Nan,Nan,27.86755710099496,Male (84.23%)
13,2,7,2,328,136,88,Nan,Nan,29.979571157040617,Female (85.86%)
14,3,1,126,217,194,60,Nan,Nan,28.40481126399901,Male (96.56%)
15,3,2,126,217,194,60,Nan,Nan,23.7137612551387,Male (65.47%)
16,3,3,59,239,203,109,Nan,Nan,27.977403399253586,Male (94.52%)
17,3,4,59,239,203,109,Nan,Nan,23.7137612551387,Male (62.24%)
18,3,5,1,311,88,40,Nan,Nan,29.716103983159133,Male (68.42%)
19,3,6,2,328,136,88,Nan,Nan,27.86755710099496,Male (86.44%)
20,3,7,2,328,136,88,Nan,Nan,29.979571157040617,Female (91.68%)
21,4,1,126,217,194,61,Nan,Nan,27.43013186526897,Female (94.82%)
22,4,2,126,217,194,61,Nan,Nan,25.41906671490851,Male (94.22%)
23,4,3,59,239,203,109,Nan,Nan,27.958803609594547,Male (63.59%)
24,4,4,59,239,203,109,Nan,Nan,23.7137612551387,Male (58.78%)
25,4,5,1,311,88,40,Nan,Nan,29.461399959309343,Male (75.19%)
26,4,6,2,328,136,89,Nan,Nan,25.678846926119636,Male (90.08%)
27,4,7,2,328,136,89,Nan,Nan,30.17107650159025,Female (96.6%)
28,5,1,126,217,194,61,Nan,Nan,26.85826738020199,Female (98.92%)
29,5,2,126,217,194,61,Nan,Nan,25.545306957257914,Male (60.75%)
30,5,3,59,239,203,109,Nan,Nan,27.726367477759894,Male (99.8%)
31,5,4,59,239,203,109,Nan,Nan,23.691544126362093,Female (77.83%)
32,5,5,1,311,88,40,Nan,Nan,29.448271858038588,Male (96.24%)
33,5,6,2,328,136,89,Nan,Nan,29.448271858038588,Male (58.82%)
34,5,7,2,328,136,89,Nan,Nan,30.730640379229946,Female (81.34%)
35,6,1,126,217,194,61,Nan,Nan,27.953562233845666,Female (88.33%)
36,6,2,126,217,194,61,Nan,Nan,25.67005234444464,Male (88.99%)
37,6,3,59,239,203,109,Nan,Nan,28.11302823737583,Male (84.83%)
38,6,4,59,239,203,109,Nan,Nan,23.816933716673226,Female (83.19%)
39,6,5,1,311,88,40,Nan,Nan,28.97571962763598,Male (99.6%)
40,6,6,2,328,137,88,Nan,Nan,28.97571962763598,Male (57.43%)
41,6,7,2,328,137,88,Nan,Nan,25.74155987073161,Female (94.53%)
42,7,1,126,217,194,60,Nan,Nan,27.953562233845666,Female (93.57%)
43,7,2,59,239,203,109,Nan,Nan,28.11302823737583,Male (99.31%)
44,7,3,59,239,203,109,Nan,Nan,23.816933716673226,Male (69.59%)
45,7,4,1,311,88,40,Nan,Nan,28.97571962763598,Male (77.99%)
46,7,5,2,328,137,88,Nan,Nan,28.97571962763598,Male (88.63%)
47,7,6,2,328,137,88,Nan,Nan,25.74155987073161,Female (82.1%)
48,8,1,126,217,194,60,Nan,Nan,27.953562233845666,Female (94.97%)
49,8,2,59,239,203,109,Nan,Nan,28.11302823737583,Female (66.37%)
50,8,3,59,239,203,109,Nan,Nan,23.816933716673226,Male (76.64%)
51,8,4,1,311,88,40,Nan,Nan,28.97571962763598,Male (96.13%)
52,8,5,2,328,137,89,Nan,Nan,28.97571962763598,Male (95.49%)
53,8,6,2,328,137,89,Nan,Nan,33.68233442088936,Female (94.77%)
54,9,1,126,217,194,60,Nan,Nan,27.953562233845666,Female (97.73%)
55,9,2,59,239,203,109,Nan,Nan,28.11302823737583,Male (64.51%)
56,9,3,59,239,203,109,Nan,Nan,23.816933716673226,Female (62.68%)
57,9,4,1,311,88,40,Nan,Nan,29.066253660365213,Male (96.25%)
58,9,5,2,328,137,89,Nan,Nan,29.066253660365213,Male (94.35%)
59,9,6,2,328,137,89,Nan,Nan,34.40953529632213,Female (92.01%)
